Country,Type,H,constuction_year,failure_year,Age 
Algeria,pg,42,1884,1885,2
Algeria,pg,43,1871,1881,4
Algeria,pg,43,1885,1927,4
Algeria,pg,2,1858,1885,4
Algeria,te,27,1861,1862,3
Argentina,er,17.7,1938,1970,4
Australia,er,17,1926,1929,3
Australia,te,12.5,1961,1962,2
Brazil,te,41,1958,1977,4
Brazil,te,17,1976,1977,3
Brazil,te,18.5,1932,1940,2
Brazil,te,60,1960,1977,4
Brazil,te,35,1961,1960,1
Brazil,te,18,1941,1954,4
Brazil,er,25,1979,1985,4
Canada,te,14,1956,1956,2
Canada,te,12,1980,1982,3
Canada,pg,15,1921,1923,3
Chile,te,42.5,1979,1984,3
Chile,te,12.5,1932,1985,4
Chile,te,20,1934,1985,4
Chile,te,17,1885,1888,2
China,te,24.5,1956,1975,4
China,va,22,1981,1981,3
China,te,25,1952,1975,4
Czechoslovakia,te,18,1915,1916,2
France,pg,22.9,1880,1895,4
France,va,66,1954,1959,2
Great Britain,te,20,1845,1852,4
Great Britain,te,28,1797,1799,3
Great Britain,pg,,1801,1804,3
Great Britain,te,29,1863,1864,2
Great Britain,te,18,1820,1836,4
India,te,26,1954,1954,3
India,pg,30,1966,1972,4
India,,,,1968,
India,te,61,1969,1973,3
India,te,20.7,1975,1976,2
India,te,28,1956,1956,
India,te,41,1957,1958,2
India,te,26.3,1955,1959,3
India,te,20,1964,1964,2
India,pg,33,1879,1961,4
India,te,24,1956,1961,3
India,te,36,1963,1983,4
India,pg,45,1924,1925,2
India,te,16,1949,1949,2
India,te,24.7,1972,1979,4
India,te,18.4,1975,1976,2
India,te,16.5,1962,1967,4
India,pg,27.3,1927,1943,4
India,te,49,1961,1961,1
India,pg,25.9,1917,1917,2
India,te,32,1883,1883,1
India,,,,1981,
Italy,mv,35,1923,1923,2
Italy,pg,16.5,1925,1935,4
Japan,te,22.3,1949,1951,3
Japan,te,28,1633,1868,4
Japan,cb,16,1927,1928,3
Japan,te,24.5,1944,1953,4
Korea,te,15.6,1940,1961,4
Leshoto,te,23,1988,1988,2
Lybya,te,38.5,1972,1977,3
Mexico,te,16,1912,1969,4
New Zealand,er,32,1981,1981,3
Nigeria,te,20,1970,1988,4
Pakistan,te,22.9,1958,1976,4
Romania,te,16,1963,1991,4
South Africa,te,21.6,1924,1922,1
South Africa,te,28,1975,1974,1
South Africa,er,18.5,1980,1977,1
South Africa,te,15,1920,1928,4
South Africa,te,15,1881,1882,2
South Africa,te,28,1912,1961,4
South Africa,te,18,1974,1988,4
South Africa,te,24,1974,1972,1
Spain,mv,20,1958,1987,4
Spain,er,35,1970,1968,1
Spain,pg,69,1791,1802,4
Spain,er,69.5,1978,1982,3
Spain,cb,33.5,1956,1959,2
Spain,pg,42,1902,1944,4
Sri Lanka,te,26.8,1869,1986,4
Sweden,te,18.5,1966,1985,4
Sweden,cb,21,1943,1943,2
Turkey,PG,23,1892,1916,4
USA,te,21,1960,1960,3
USA,te,22,1898,1939,4
USA,pg,15.6,,1985,5
USA,te,35,1920,1923,2
USA,cb,18,1908,1909,2
USA,pg,18.3,1893,1893,2
USA,cb,20.7,1915,1915,3
USA,te,17.5,1893,1893,2
USA,te,17.5,1893,1904,4
USA,te,71,1951,1963,4
USA,te,18,1927,1929,3
USA,pg,15.8,1909,1911,2
USA,te,21.3,1907,1909,3
USA,er,38.1,,1925,5
USA,er,28,1890,1933,4
USA,te,20,1950,1973,4
USA,er,21.3,1906,1965,4
USA,te,15,1885,1891,4
USA,te,31.7,1930,1930,2
USA,te,15.7,1851,1868,4
USA,pg,33,1912,1912,2
USA,te,16,1850,1966,4
USA,er,30.5,1878,1883,3
USA,te,15.8,1965,1965,2
USA,te,16,1947,1948,1
USA,pg,29,1910,1957,4
USA,er,,,1900,1
USA,te,34.1,1922,1923,3
USA,te,19,1901,1904,3
USA,te,18.9,1908,1914,4
USA,sp,21,1906,1908,3
USA,pg,40,1911,1969,4
USA,te,17.1,1913,1914,3
USA,te,17.1,1913,1942,4
USA,er,30,1966,1964,1
USA,te,16.9,1912,1914,3
USA,er,16.8,1960,1964,3
USA,er,21,1962,1963,3
USA,te,18.3,1905,1910,4
USA,te,21,1913,1972,4
USA,te,15,1899,1899,2
USA,te,24,1901,1935,4
USA,te,45,1923,1927,3
USA,te,18.9,1902,1916,4
USA,er,51,1880,1905,4
USA,te,26,1962,1963,2
USA,er,37,1929,1929,1
USA,te,24.9,1915,1916,3
USA,er,15.2,1914,1976,4
USA,er,46.6,1901,1916,2
USA,te,19.8,1913,1915,3
USA,te,23,1916,1917,3
USA,te,17,1924,1925,3
USA,te,20,1889,1957,4
USA,va,16,,1926,5
USA,er,16.5,1920,1923,3
USA,te,17.1,1915,1914,1
USA,te,24,1984,1988,3
USA,te,30,1911,1921,4
USA,te,20,,1914,4
USA,te,18,1969,1970,2
USA,te,21,1919,1943,4
USA,te,21.9,1852,1889,4
USA,pg,62.5,1926,1928,3
USA,er,28,1950,1950,3
USA,te,36,1911,1916,4
USA,te,57,1914,1964,4
USA,te,93,1976,1976,2
USA,te,15,1898,1953,4
USA,te,21,1873,1902,4
USA,er,43,1921,1971,4
USA,va,19,1926,1926,2
USA,te,15,1918,1938,4
USA,er,33,1888,1890,3
USA,te,50,1967,1975,4
USA,te,25,1958,1965,4
USA,te,19,1949,1962,4
USA,er,18,1909,1911,3
USSR,te,28,1934,1935,3
USSR,te,23,1980,1987,4
Yugoslavia,va,38,1959,1960,2
Yugoslavia,te,,1952,1965,4
